Genesis,50,1533,36397,Old
Exodus,40,1213,31005,Old
Leviticus,27,859,23493,Old
Numbers,36,1288,31043,Old
Deuteronomy,34,959,27618,Old
Joshua,24,658,17993,Old
Judges,21,618,18312,Old
Ruth,4,85,2437,Old
1 Samuel,31,810,24168,Old
2 Samuel,24,695,19795,Old
1 Kings,22,816,23520,Old
2 Kings,25,719,22912,Old
1 Chronicles,29,942,18580,Old
2 Chronicles,36,822,24856,Old
Ezra,10,280,6921,Old
Nehemiah,13,406,9874,Old
Esther,10,167,5484,Old
Job,42,1070,17627,Old
Psalms,150,2461,41273,Old
Proverbs,31,915,14552,Old
Ecclesiastes,12,222,5376,Old
Song of Solomon,8,117,2576,Old
Isaiah,66,1292,35385,Old
Jeremiah,52,1364,40544,Old
Lamentations,5,154,3253,Old
Ezekiel,48,1273,37309,Old
Daniel,12,357,11272,Old
Hosea,14,197,4976,Old
Joel,3,73,1917,Old
Amos,9,146,4067,Old
Obadiah,1,21,614,Old
Jonah,4,48,1312,Old
Micah,7,105,3022,Old
Nahum,3,47,1111,Old
Habakkuk,3,56,1373,Old
Zephaniah,3,53,1573,Old
Haggai,2,38,1095,Old
Zechariah,14,211,6083,Old
Malachi,4,55,1752,Old
Matthew,28,1067,23019,New
Mark,16,673,14596,New
Luke,24,1149,25010,New
John,21,866,18841,New
Acts,28,1003,23633,New
Romans,16,432,9530,New
1 Corinthians,16,437,9314,New
2 Corinthians,13,257,6077,New
Galatians,6,149,3133,New
Ephesians,6,155,3014,New
Philippians,4,104,2160,New
Colossians,4,95,1950,New
1 Thessalonians,5,89,1854,New
2 Thessalonians,3,47,1065,New
1 Timothy,6,113,2314,New
2 Timothy,4,83,1647,New
Titus,3,46,928,New
Philemon,1,25,461,New
Hebrews,13,303,6935,New
James,5,108,2331,New
1 Peter,5,105,2405,New
2 Peter,3,61,1549,New
1 John,5,105,2507,New
2 John,1,13,302,New
3 John,1,15,303,New
Jude,1,25,610,New
Revelation,22,404,11526,New
